Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
01-Apr-05,-,-,-,1000,-,-
04-Apr-05,-,-,-,1001.33,-,-
05-Apr-05,-,-,-,1000.84,-,-
06-Apr-05,-,-,-,1014.49,-,-
07-Apr-05,-,-,-,1005.91,-,-
08-Apr-05,-,-,-,999.03,-,-
11-Apr-05,-,-,-,987.77,-,-
12-Apr-05,-,-,-,992.35,-,-
13-Apr-05,-,-,-,990.98,-,-
15-Apr-05,-,-,-,967.08,-,-
18-Apr-05,-,-,-,956.65,-,-
19-Apr-05,-,-,-,952.79,-,-
20-Apr-05,-,-,-,967.22,-,-
21-Apr-05,-,-,-,974.64,-,-
22-Apr-05,-,-,-,978.15,-,-
25-Apr-05,-,-,-,983.61,-,-
26-Apr-05,-,-,-,980.73,-,-
27-Apr-05,-,-,-,966.96,-,-
28-Apr-05,-,-,-,964.86,-,-
29-Apr-05,-,-,-,943.68,-,-
02-May-05,-,-,-,959.97,-,-
03-May-05,-,-,-,960.36,-,-
04-May-05,-,-,-,969.04,-,-
05-May-05,-,-,-,978.75,-,-
06-May-05,-,-,-,992.28,-,-
09-May-05,-,-,-,997.14,-,-
10-May-05,-,-,-,989.83,-,-
11-May-05,-,-,-,988.39,-,-
12-May-05,-,-,-,995.95,-,-
13-May-05,-,-,-,991.17,-,-
16-May-05,-,-,-,997.49,-,-
17-May-05,-,-,-,980.83,-,-
18-May-05,-,-,-,978.52,-,-
19-May-05,-,-,-,978.16,-,-
20-May-05,-,-,-,980.26,-,-
23-May-05,-,-,-,999.59,-,-
24-May-05,-,-,-,1001.52,-,-
25-May-05,-,-,-,1004.67,-,-
26-May-05,-,-,-,1006.26,-,-
27-May-05,-,-,-,1008.65,-,-
30-May-05,-,-,-,1005.76,-,-
31-May-05,-,-,-,1008.76,-,-
01-Jun-05,-,-,-,1015.54,-,-
02-Jun-05,-,-,-,1006.88,-,-
03-Jun-05,-,-,-,1018.6,-,-
04-Jun-05,-,-,-,1018.88,-,-
06-Jun-05,-,-,-,1015.2,-,-
07-Jun-05,-,-,-,1012.81,-,-
08-Jun-05,-,-,-,1013.3,-,-
09-Jun-05,-,-,-,1009.68,-,-
10-Jun-05,-,-,-,1006.43,-,-
13-Jun-05,-,-,-,1011.93,-,-
14-Jun-05,-,-,-,1015.41,-,-
15-Jun-05,-,-,-,1025.75,-,-
